"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000160087",1226.36024604796,0.430326257301924,0.0633109392271504,6.79702848441367,1.06798988495746e-11,4.92954429204603e-11,"UBE2J2","118424","ubiquitin conjugating enzyme E2 J2"
"ENSG00000162572",31.7776688322821,0.81014593991756,0.320430204359455,2.52830703502828,0.0114614071045746,0.0223910681213176,"SCNN1D","6339","sodium channel epithelial 1 subunit delta"
"ENSG00000131584",1067.09073092054,0.582146204655241,0.067071417366585,8.67949757902785,3.97520931235448e-18,2.52855566877343e-17,"ACAP3","116983","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
"ENSG00000169972",227.376248317606,0.0839217292578341,0.121698882259012,0.689585045483188,0.490455174374693,0.602963660321507,"PUSL1","126789","pseudouridine synthase like 1"
"ENSG00000127054",922.15171909075,-0.209496874766845,0.0727879689660339,-2.87817997593263,0.00399976875592562,0.00843086268947824,"INTS11","54973","integrator complex subunit 11"
"ENSG00000224051",299.70151191683,-0.216411081372172,0.108761452224362,-1.9897774160439,0.0466154602913268,0.0804283134832094,"CPTP","80772","ceramide-1-phosphate transfer protein"
"ENSG00000169962",5.84091826930333,0.0582910464704633,0.735677202195433,0.0792345424005381,0.936846070087727,0.957107817894976,"TAS1R3","83756","taste 1 receptor member 3"
"ENSG00000107404",996.838159268406,-0.144513678508823,0.0649756414652684,-2.22412084359445,0.0261403148741016,0.0475302321476801,"DVL1","1855","dishevelled segment polarity protein 1"
"ENSG00000162576",5438.1255159644,0.516215483131534,0.0418318418425494,12.3402523148398,5.49833069856766e-35,6.45178326715686e-34,"MXRA8","54587","matrix remodeling associated 8"
"ENSG00000175756",1068.65776669111,0.0974793333116045,0.0657020202932039,1.48365808047592,0.137899652558029,0.211001357911154,"AURKAIP1","54998","aurora kinase A interacting protein 1"
"ENSG00000221978",1362.3522672541,0.487093287454543,0.0609097051661882,7.99697332511363,1.27514849910243e-15,7.22535124174226e-15,"CCNL2","81669","cyclin L2"
"ENSG00000242485",665.629405355783,-0.119697711313035,0.0763055945670392,-1.56866232406948,0.116726641891921,0.181909405541201,"MRPL20","55052","mitochondrial ribosomal protein L20"
"ENSG00000235098",1.24671988581422,-0.0591200275828552,1.57049165082128,-0.0376442800902118,0.96997130251787,0.978804317460347,"ANKRD65","441869","ankyrin repeat domain 65"
"ENSG00000179403",108.929842536121,0.165405859799228,0.175992761712649,0.939844674233213,0.347297239694535,0.458890686625251,"VWA1","64856","von Willebrand factor A domain containing 1"
"ENSG00000215915",0.543603841878244,0.784681074994083,2.42042057971729,0.324192035702214,0.745792651347795,0.820915389219767,"ATAD3C","219293","ATPase family AAA domain containing 3C"
"ENSG00000160072",423.792449298593,-0.791803457110167,0.0978592141318278,-8.09125092751629,5.90550517131205e-16,3.40380661770814e-15,"ATAD3B","83858","ATPase family AAA domain containing 3B"
"ENSG00000197785",708.708441641375,-0.664367837986098,0.0811918784358308,-8.18268835239691,2.77580385818816e-16,1.6227607005941e-15,"ATAD3A","55210","ATPase family AAA domain containing 3A"
"ENSG00000205090",40.4750829217052,0.497894327131032,0.293990305989565,1.6935739614105,0.0903462694601091,0.145188454836232,"TMEM240","339453","transmembrane protein 240"
"ENSG00000160075",1860.23851801681,0.0489569115054761,0.0522188415901037,0.937533465214867,0.348484217963901,0.459990070268217,"SSU72","29101","SSU72 homolog, RNA polymerase II CTD phosphatase"
"ENSG00000228594",176.877295844935,0.33642515897354,0.140976553211221,2.38639086649738,0.0170146565180167,0.0321448542190143,"FNDC10","643988","fibronectin type III domain containing 10"
"ENSG00000197530",749.024212554717,0.419464859464625,0.0731092057608457,5.7375108250632,9.60781406541721e-09,3.62426321208392e-08,"MIB2","142678","MIB E3 ubiquitin protein ligase 2"
"ENSG00000189409",2.55268355396294,-0.0385517087795305,1.09981214360158,-0.035052994280718,0.9720374834859,0.980419410868819,"MMP23B","8510","matrix metallopeptidase 23B"
"ENSG00000248333",477.512838582641,0.0727145569938879,0.0874014035421121,0.831960975991104,0.405430971969464,0.520099234206927,"CDK11B","984","cyclin dependent kinase 11B"
"ENSG00000189339",1751.0672425259,0.87781053939669,0.0570548914966988,15.3853686576107,2.05204399842758e-53,3.80415401872021e-52,"SLC35E2B","728661","solute carrier family 35 member E2B"
"ENSG00000008128",12.8597280624561,0.403593300199675,0.503910006815264,0.800923368738805,0.423176010541788,0.53834855790806,"CDK11A","728642","cyclin dependent kinase 11A"
"ENSG00000215790",44.3703655663435,1.26888735166441,0.282260898452034,4.49544148205862,6.94257499663719e-06,2.04516630622504e-05,NA,NA,NA
"ENSG00000008130",954.970824752761,0.0147195890451463,0.0662523349203911,0.222174645811856,0.824177930601953,0.880772557552867,"NADK","65220","NAD kinase"
"ENSG00000078369",9946.0455726368,0.0443202370771105,0.0382760451202155,1.1579105662017,0.246900535130712,0.346620316894307,"GNB1","2782","G protein subunit beta 1"
"ENSG00000169885",1.40907649268242,1.66715894575439,1.60706317785694,1.03739477621383,0.299551911846233,0.405287439345431,"CALML6","163688","calmodulin like 6"
"ENSG00000178821",2.56465587233207,-0.513052496946591,1.08917977839167,-0.47104482393548,0.637608725815315,0.733679642540072,"TMEM52","339456","transmembrane protein 52"
"ENSG00000067606",34.0074868626391,0.562193553314814,0.323167440365953,1.73963550498215,0.0819230407170002,0.133353409994163,"PRKCZ","5590","protein kinase C zeta"
"ENSG00000162585",655.211397296099,0.241138701737614,0.0757411327882592,3.18372188084033,0.0014539463501067,0.00326292472604759,"FAAP20","199990","FA core complex associated protein 20"
"ENSG00000157933",1780.14596929959,-0.709301608936571,0.0580165056672185,-12.2258588444659,2.26178521396354e-34,2.60423363151521e-33,"SKI","6497","SKI proto-oncogene"
"ENSG00000116151",45.9442404288924,0.0890753613166271,0.276601711022885,0.322034744424475,0.747426373170688,0.822487111759098,"MORN1","79906","MORN repeat containing 1"
"ENSG00000157916",2153.5090858002,0.0751255688326855,0.052226690468712,1.43845164528838,0.15030594802029,0.227177629158346,"RER1","11079","retention in endoplasmic reticulum sorting receptor 1"
"ENSG00000157911",207.794701124024,-0.24653460107176,0.129138445753478,-1.90907207867739,0.0562527940541986,0.0953154378904091,"PEX10","5192","peroxisomal biogenesis factor 10"
